meal_id,user_id,timestamp,meal_type,food_name,food_tags
meal_1,user_123,2025-01-01 07:46:29,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_2,user_123,2025-01-01 12:14:30,Lunch,Lentil Soup,"high-fiber, legume"
meal_3,user_123,2025-01-01 19:46:58,Dinner,Gluten-Free Toast,gluten-free
meal_4,user_123,2025-01-02 07:42:02,Breakfast,Lentil Soup,"high-fiber, legume"
meal_5,user_123,2025-01-02 12:49:49,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_6,user_123,2025-01-02 18:19:14,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_7,user_123,2025-01-03 08:52:38,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_8,user_123,2025-01-03 12:07:39,Lunch,Grilled Chicken Breast,"low-fodmap, protein"
meal_9,user_123,2025-01-03 19:48:51,Dinner,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_10,user_123,2025-01-04 07:12:40,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_11,user_123,2025-01-04 13:10:31,Lunch,Spicy Curry,"spicy, high-fat, dairy-free"
meal_12,user_123,2025-01-04 19:07:31,Dinner,Buffalo Wings,"spicy, processed, high-fat"
meal_13,user_123,2025-01-05 08:53:13,Breakfast,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_14,user_123,2025-01-05 12:51:45,Lunch,Steamed Rice,"low-fodmap, carb"
meal_15,user_123,2025-01-05 19:56:34,Dinner,Cooked Carrots,"low-fodmap, vegetable"
meal_16,user_123,2025-01-06 07:35:26,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
meal_17,user_123,2025-01-06 13:48:46,Lunch,Lentil Soup,"high-fiber, legume"
meal_18,user_123,2025-01-06 18:51:36,Dinner,Lentil Soup,"high-fiber, legume"
meal_19,user_123,2025-01-07 08:34:03,Breakfast,Large Apple,"high-fiber, fruit, raw"
meal_20,user_123,2025-01-07 13:09:41,Lunch,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_21,user_123,2025-01-07 19:17:34,Dinner,Mac & Cheese,"gluten, dairy, processed"
meal_22,user_123,2025-01-08 08:41:19,Breakfast,Gluten-Free Toast,gluten-free
meal_23,user_123,2025-01-08 13:00:06,Lunch,Cereal with Milk,"gluten, dairy, processed, sugary"
meal_24,user_123,2025-01-08 18:26:17,Dinner,Grilled Chicken Breast,"low-fodmap, protein"
meal_25,user_123,2025-01-09 08:07:43,Breakfast,Pizza Slice,"gluten, dairy, processed, high-fat"
meal_26,user_123,2025-01-09 12:15:53,Lunch,Cheeseburger,"gluten, dairy, processed, red-meat"
meal_27,user_123,2025-01-09 19:36:46,Dinner,Lentil Soup,"high-fiber, legume"
meal_28,user_123,2025-01-10 07:05:49,Breakfast,Spicy Curry,"spicy, high-fat, dairy-free"
